	P9723_1001_S1_L001	P9723_1002_S2_L001	P9723_1003_S3_L001	P9723_1004_S4_L001	P9723_1005_S5_L001	P9723_1006_S6_L001	P9723_1009_S9_L001	P9723_1010_S10_L001	P9723_1011_S11_L001	P9723_1012_S12_L001	P9723_1013_S13_L001	P9723_1014_S14_L001	P9723_1015_S15_L001	P9723_1016_S16_L001	P9723_1017_S17_L001	P9723_1018_S18_L001	P9723_1019_S19_L001	P9723_1020_S20_L001	P9723_1021_S21_L001	P9723_1022_S22_L001	P9723_1023_S23_L001	P9723_1024_S24_L001	P9723_1025_S25_L001	P9723_1026_S26_L001	P9723_1027_S27_L001	P9723_1028_S28_L001	P9723_1029_S29_L001	P9723_1030_S30_L001	P9723_1031_S31_L001	P9723_1032_S32_L001	P9723_1033_S33_L001	P9723_1034_S34_L001	P9723_1035_S35_L001	P9723_1036_S36_L001	P9723_1037_S37_L001	P9723_1038_S38_L001	P9723_1039_S39_L001	P9723_1040_S40_L001	P9723_1041_S41_L001	P9723_1042_S42_L001	P9723_1043_S43_L001	P9723_1044_S44_L001	P9723_1045_S45_L001	P9723_1046_S46_L001	P9723_1047_S47_L001	P9723_1048_S48_L001	P9723_1049_S49_L001	P9723_1050_S50_L001	P9723_1051_S51_L001	P9723_1052_S52_L001	P9723_1053_S53_L001	P9723_1054_S54_L001	P9723_1055_S55_L001	P9723_1056_S56_L001	P9723_1058_S58_L001	P9723_1059_S59_L001	P9723_1060_S60_L001	P9723_1061_S61_L001	P9723_1062_S62_L001	P9723_1063_S63_L001	P9723_1064_S64_L001	P9723_1065_S65_L001	P9723_1066_S66_L001	P9723_1067_S67_L001	P9723_1068_S68_L001	P9723_1069_S69_L001	P9723_1070_S70_L001	P9723_1071_S71_L001	P9723_1072_S72_L001	P9723_1073_S73_L001	P9723_1074_S74_L001	P9723_1075_S75_L001	P9723_1077_S77_L001	P9723_1078_S78_L001	P9723_1079_S79_L001	P9723_1081_S81_L001	P9723_1082_S82_L001	P9723_1083_S83_L001	P9723_1085_S85_L001	P9723_1086_S86_L001	P9723_1087_S87_L001	P9723_1089_S89_L001	P9723_1090_S90_L001	P9723_1091_S91_L001	P9723_1093_S93_L001	P9723_1094_S94_L001	P9723_1095_S95_L001
ASV31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18348	0	5	0	13589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV32	2405	0	0	0	2070	0	3624	0	0	0	4404	0	0	0	107	0	0	0	109	0	0	0	124	2184	0	0	99	236	0	0	188	2460	0	0	175	1714	0	0	41	3109	0	0	44	4157	0	0	0	48	396	0	0	35	363	0	0	829	0	0	0	672	0	0	40	846	0	0	0	1399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV33	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	6862	0	0	0	7348	0	0	0	1597	0	0	0	1889	0	0	0	5057	6	0	0	4678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	46	0	0	0	457	0	0	610	0	0	0	0	0	0	0	0	739	0	0	822
ASV34	0	65	515	37	15	144	23	63	105	43	35	95	142	74	5	46	93	34	18	108	174	30	36	0	369	112	73	0	629	211	109	3	176	42	405	0	481	31	100	0	63	353	1247	6	371	460	0	0	0	2135	795	0	0	1708	0	0	3742	915	0	0	3238	826	0	0	3303	2371	0	6	2013	28	74	0	0	118	0	127	54	0	217	49	0	331	95	0	578	158	0
ASV35	0	0	39	0	0	0	47	0	11360	0	25	0	9200	0	8	0	4271	0	0	0	4446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	77	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ASV36	0	124	509	1000	0	134	0	126	500	763	0	118	405	925	0	82	140	1097	0	79	168	1125	447	7	167	710	593	0	190	708	167	0	180	1302	207	0	197	886	325	26	88	703	296	0	93	548	975	14	33	65	1222	29	44	43	0	0	257	842	0	0	220	572	0	25	238	676	0	0	89	298	1261	122	268	1101	131	445	610	68	675	456	0	564	589	39	641	693	65
ASV37	0	94	135	0	0	83	0	87	12	0	0	45	0	0	0	213	608	0	0	180	601	0	0	0	488	0	0	0	479	0	0	0	1091	0	0	0	1033	0	0	0	1313	0	0	0	1201	0	0	0	0	3340	0	0	0	1807	0	0	7365	0	0	0	5201	0	0	0	1964	0	0	0	1040	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
ASV38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2548	0	0	0	2673	0	0	0	11207	0	0	0	11162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	225	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV39	0	0	0	4343	0	0	0	0	0	4148	0	0	0	4072	0	0	0	1812	0	0	0	1592	0	0	0	680	0	0	0	756	0	0	0	1387	0	0	0	1118	0	0	0	1376	0	0	0	909	631	0	0	0	634	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	1193	1075	0	1016	786	0	103	52	0	142	54	0	0	101	0	0	96	0
ASV40	0	0	0	0	0	0	0	0	120	0	0	0	93	0	0	0	145	0	0	0	142	0	0	0	0	29	0	0	0	0	0	0	0	94	8	0	0	0	0	0	0	0	0	0	0	0	0	11251	0	0	0	8246	0	0	0	0	0	0	0	0	0	246	0	0	0	286	0	28	0	0	0	1024	0	0	1188	0	871	390	0	773	348	0	15	1078	0	24	1253
